"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "YAML", "Ignore", "comment", "blank", "total"
"g:\graduation-project\RobinStudio\.eslintrc.cjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\graduation-project\RobinStudio\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"g:\graduation-project\RobinStudio\.prettierrc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"g:\graduation-project\RobinStudio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 13, 35
"g:\graduation-project\RobinStudio\components.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"g:\graduation-project\RobinStudio\dev-app-update.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"g:\graduation-project\RobinStudio\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"g:\graduation-project\RobinStudio\electron.vite.config.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"g:\graduation-project\RobinStudio\package-lock.json", "JSON", 0, 11915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11916
"g:\graduation-project\RobinStudio\package.json", "JSON", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"g:\graduation-project\RobinStudio\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"g:\graduation-project\RobinStudio\src\main\index.ts", "TypeScript", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 20, 36, 259
"g:\graduation-project\RobinStudio\src\main\lib\get-file-tree.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 11, 49
"g:\graduation-project\RobinStudio\src\main\lsp\server.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 5, 17, 103
"g:\graduation-project\RobinStudio\src\preload\index.d.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"g:\graduation-project\RobinStudio\src\preload\index.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 16, 97
"g:\graduation-project\RobinStudio\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 2, 18
"g:\graduation-project\RobinStudio\src\renderer\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 14, 129
"g:\graduation-project\RobinStudio\src\renderer\src\assets\icons\arrow.icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"g:\graduation-project\RobinStudio\src\renderer\src\assets\icons\collapseAll.icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"g:\graduation-project\RobinStudio\src\renderer\src\assets\icons\dark-theme.icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
