Date : 2025-06-13 22:56:33
Directory : g:\graduation-project\RobinStudio
Total : 146 files,  17483 codes, 1380 comments, 861 blanks, all 19724 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     12,057 |          0 |          5 |     12,062 |
| TypeScript JSX     |         77 |      3,740 |      1,323 |        551 |      5,614 |
| TypeScript         |         53 |      1,336 |         53 |        263 |      1,652 |
| JavaScript         |          3 |        129 |          1 |          5 |        135 |
| PostCSS            |          1 |        109 |          2 |         15 |        126 |
| YAML               |          3 |         54 |          0 |          5 |         59 |
| Markdown           |          1 |         22 |          0 |         13 |         35 |
| JSON with Comments |          1 |         15 |          0 |          1 |         16 |
| HTML               |          1 |         15 |          1 |          2 |         18 |
| Ignore             |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        146 |     17,483 |      1,380 |        861 |     19,724 |
| . (Files)                                                                                                                        |         15 |     12,328 |          1 |         32 |     12,361 |
| src                                                                                                                              |        131 |      5,155 |      1,379 |        829 |      7,363 |
| src\main                                                                                                                         |          3 |        322 |         25 |         64 |        411 |
| src\main (Files)                                                                                                                 |          1 |        203 |         20 |         36 |        259 |
| src\main\lib                                                                                                                     |          1 |         38 |          0 |         11 |         49 |
| src\main\lsp                                                                                                                     |          1 |         81 |          5 |         17 |        103 |
| src\preload                                                                                                                      |          2 |        109 |          9 |         21 |        139 |
| src\renderer                                                                                                                     |        109 |      4,515 |      1,342 |        685 |      6,542 |
| src\renderer (Files)                                                                                                             |          1 |         15 |          1 |          2 |         18 |
| src\renderer\src                                                                                                                 |        108 |      4,500 |      1,341 |        683 |      6,524 |
| src\renderer\src (Files)                                                                                                         |          4 |        242 |          3 |         34 |        279 |
| src\renderer\src\assets                                                                                                          |         21 |        226 |         21 |         22 |        269 |
| src\renderer\src\assets\icons                                                                                                    |         21 |        226 |         21 |         22 |        269 |
| src\renderer\src\components                                                                                                      |         56 |      3,164 |      1,298 |        455 |      4,917 |
| src\renderer\src\components\abstract-syntax-tree                                                                                 |          2 |         26 |          0 |          4 |         30 |
| src\renderer\src\components\abstract-syntax-tree (Files)                                                                         |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\abstract-syntax-tree\components                                                                      |          1 |         25 |          0 |          3 |         28 |
| src\renderer\src\components\app-sidebar                                                                                          |          4 |        438 |          0 |         37 |        475 |
| src\renderer\src\components\app-sidebar (Files)                                                                                  |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\app-sidebar\components                                                                               |          2 |        430 |          0 |         34 |        464 |
| src\renderer\src\components\app-sidebar\types                                                                                    |          1 |          7 |          0 |          2 |          9 |
| src\renderer\src\components\draggable-tabs                                                                                       |          2 |         77 |          0 |         11 |         88 |
| src\renderer\src\components\draggable-tabs (Files)                                                                               |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\draggable-tabs\components                                                                            |          1 |         76 |          0 |         10 |         86 |
| src\renderer\src\components\editor-playground                                                                                    |          2 |         34 |          0 |          6 |         40 |
| src\renderer\src\components\editor-playground (Files)                                                                            |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\editor-playground\components                                                                         |          1 |         33 |          0 |          5 |         38 |
| src\renderer\src\components\file-finder                                                                                          |          5 |        127 |          0 |         21 |        148 |
| src\renderer\src\components\file-finder (Files)                                                                                  |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\file-finder\components                                                                               |          4 |        126 |          0 |         20 |        146 |
| src\renderer\src\components\file-operation                                                                                       |          2 |        214 |          4 |         23 |        241 |
| src\renderer\src\components\file-operation (Files)                                                                               |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\file-operation\components                                                                            |          1 |        213 |          4 |         22 |        239 |
| src\renderer\src\components\output-panel                                                                                         |          4 |        214 |         12 |         22 |        248 |
| src\renderer\src\components\output-panel (Files)                                                                                 |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\output-panel\components                                                                              |          3 |        213 |         12 |         21 |        246 |
| src\renderer\src\components\settings-tab                                                                                         |          2 |         61 |          0 |          5 |         66 |
| src\renderer\src\components\settings-tab (Files)                                                                                 |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\settings-tab\components                                                                              |          1 |         60 |          0 |          4 |         64 |
| src\renderer\src\components\tabs-bar                                                                                             |          2 |         42 |          0 |          7 |         49 |
| src\renderer\src\components\tabs-bar (Files)                                                                                     |          1 |          1 |          0 |          1 |          2 |
| src\renderer\src\components\tabs-bar\components                                                                                  |          1 |         41 |          0 |          6 |         47 |
| src\renderer\src\components\title-bar                                                                                            |         10 |        310 |         14 |         41 |        365 |
| src\renderer\src\components\title-bar (Files)                                                                                    |          1 |          1 |          0 |          1 |          2 |
